klue-re-v1_train_19088	1953년에는 테네시주 멤피스에서 활동하던 [SUBJ-ORG] 선 레코드 [/SUBJ-ORG] 소속 프로듀서인 [OBJ-PER] 샘 필립스 [/OBJ-PER]에 의해 가수로 데뷔했다.	org:top_members/employees
klue-re-v1_train_32150	2016년 [SUBJ-ORG] 아모레퍼시픽 [/SUBJ-ORG] 회장 [OBJ-PER] 서경배 [/OBJ-PER]는 "까치집을 다시 짓는 마음으로 브랜드를 재정비하겠다"며 권금주 에뛰드 대표를 투입했다.	org:top_members/employees
klue-re-v1_train_21862	그외 [OBJ-ORG] 조선로동당 [/OBJ-ORG]출판사, [SUBJ-ORG] 로동신문 [/SUBJ-ORG]사, 김일성고급당학교, 당 역사연구소가 당 중앙위원회에 소속되어 있다.	no_relation
klue-re-v1_train_30268	일둘브 막 카우산틴 이후 일둘브의 후손들([OBJ-PER] 아드 막 키나다 [/OBJ-PER]의 후예)과 키나드의 일족([SUBJ-PER] 카우산틴 막 키나다 [/SUBJ-PER]의 후예) 사이에는 불화가 계속되었다.	no_relation
klue-re-v1_train_02058	지난 3일 페이커(이상혁)가 속한 '리그 오브 레전드' 게임 팀 SKT T1이 '2019 스무살우리 [OBJ-POH] 리그 오브 레전드 [/OBJ-POH] 챔피언스 코리아(LCK) 서머'에서 [SUBJ-ORG] 아프리카 프릭스 [/SUBJ-ORG]를 꺾고 9연승을 달성했다.	no_relation
klue-re-v1_train_06892	[SUBJ-PER] 아브드 엘 크림 [/SUBJ-PER]은 모로코의 [OBJ-LOC] 아즈디르 [/OBJ-LOC](Ajdir)에서 아이스 우리아겔(Aith Uriaghel)부족의 이슬람 재판관(카디, Qadi) 집안에서 태어났다.	per:place_of_birth
klue-re-v1_train_19451	[SUBJ-PER] 마티아스 쇼버 [/SUBJ-PER] (Mathias Schober, 1976년 4월 8일, 마를 ~)는 독일의 축구 선수로, 현재 독일 분데스리가의 [OBJ-ORG] FC 샬케 04 [/OBJ-ORG] 소속 골키퍼이다.	per:employee_of
klue-re-v1_train_02193	중원은 [SUBJ-PER] 황인범 [/SUBJ-PER]과 손준호(전북)가 [OBJ-POH] 공격형 미드필더 [/OBJ-POH]로 나서고, 주세종(서울)이 수비형 미드필더를 맡았다.	per:title
klue-re-v1_train_12393	[SUBJ-PER] 가오청융 [/SUBJ-PER](고승용, 高承勇)(1964년 11월 10일 ~ [OBJ-DAT] 2019년 1월 3일 [/OBJ-DAT])은 중국의 범죄자다.	per:date_of_death
klue-re-v1_train_14187	《Steel Wheels》는 [OBJ-DAT] 1989년 [/OBJ-DAT]에 발매된 [SUBJ-ORG] 롤링 스톤스 [/SUBJ-ORG]의 열아홉 번째 영국 및 스물한 번째 미국의 스튜디오 음반이며 이 밴드가 컬럼비아 레코드에서 녹음할 새로운 소재의 최종 음반이다.	no_relation
